序號	Band	BW	ARFCN	測試類型	iPerf方向	測試秒數	設定開始時間	設定完成時間	UE連線狀態	PHY DL Mbps	PHY UL Mbps	iPerf平均 Mbps	iPerf最低 Mbps	iPerf最高 Mbps	傳輸量 MB	Download 平均 Mbps	Download 最低 Mbps	Download 最高 Mbps	Download 傳輸量 MB	Upload 平均 Mbps	Upload 最低 Mbps	Upload 最高 Mbps	Upload 傳輸量 MB	結果	錯誤原因
1	5A	10	2525	PHY+iPerf	bidirectional	30	2026-08-04T11:22:21+08:00	2026-08-04T11:25:01+08:00	已連線	14.013	5.03	DL 13.818 / UL 4.591	DL 8.339 / UL 4.264	DL 20.676 / UL 5.016	DL 51.817 / UL 17.215	13.818	8.339	20.676	51.817	4.591	4.264	5.016	17.215	PASS	
2	1A-3A	20+20	300+1575	PHY			2026-08-04T11:25:26+08:00	2026-08-04T11:26:40+08:00	已連線	13.765	60.335													PASS	
3	n78C	100+100	623334+630000	PHY+iPerf	upload	30	2026-08-04T11:27:04+08:00	2026-08-04T11:32:42+08:00	未連線	0.0	0.0													FAIL	SA config 已套用，但 UE 尚未連線。
4	1A_n78A	20_100	623334+300	PHY+iPerf	download	30	2026-08-04T11:33:10+08:00	2026-08-04T11:38:45+08:00	未連線	0.0	0.0													FAIL	ENDC config 已套用，但 UE 尚未連線。
5	3A	20	1575	PHY			2026-08-04T11:39:13+08:00	2026-08-04T11:44:49+08:00	未連線	0.0	0.0													FAIL	FAIL｜LTE Band 設定未完整完成  LTE config 已套用，但 UE 尚未連線。
6	5A	10	2525	PHY+iPerf	bidirectional	30	2026-08-04T11:45:17+08:00	2026-08-04T11:49:22+08:00	已連線	12.758	5.202	DL 13.269 / UL 4.765	DL 10.944 / UL 4.156	DL 20.152 / UL 5.162	DL 49.758 / UL 17.868	13.269	10.944	20.152	49.758	4.765	4.156	5.162	17.868	PASS	
7	1A-3A	20+20	300+1575	PHY			2026-08-04T11:49:49+08:00	2026-08-04T11:55:25+08:00	未連線	0.0	0.0													FAIL	FAIL｜LTE Band 設定未完整完成  LTE config 已套用，但 UE 尚未連線。
8	n78C	100+100	623334+630000	PHY+iPerf	upload	30	2026-08-04T11:55:50+08:00	2026-08-04T12:01:37+08:00	未連線	0.0	0.0													FAIL	SA config 已套用，但 UE 尚未連線。
9	1A_n78A	20_100	623334+300	PHY+iPerf	download	30	2026-08-04T12:02:04+08:00	2026-08-04T12:04:49+08:00	已連線	0.445	10.52													FAIL	FAIL｜iPerf 測試失敗  UE 192.168.3.2 無法從 iPerf Executor Ping 通，停止測試。
10	3A	20	1575	PHY			2026-08-04T12:05:18+08:00	2026-08-04T12:06:45+08:00	已連線	14.293	42.669													PASS	
