序號	Band	BW	ARFCN	測試類型	iPerf方向	測試秒數	設定開始時間	設定完成時間	UE連線狀態	PHY DL Mbps	PHY UL Mbps	iPerf平均 Mbps	iPerf最低 Mbps	iPerf最高 Mbps	傳輸量 MB	Download 平均 Mbps	Download 最低 Mbps	Download 最高 Mbps	Download 傳輸量 MB	Upload 平均 Mbps	Upload 最低 Mbps	Upload 最高 Mbps	Upload 傳輸量 MB	結果	錯誤原因
1	5A	10	2525	PHY+iPerf	bidirectional	30	2026-08-04T12:21:19+08:00	2026-08-04T12:24:05+08:00	已連線	13.044	4.495	DL 13.484 / UL 4.953	DL 7.295 / UL 4.623	DL 20.676 / UL 5.224	DL 50.567 / UL 18.575	13.484	7.295	20.676	50.567	4.953	4.623	5.224	18.575	PASS	
2	1A-3A	20+20	300+1575	PHY			2026-08-04T12:24:34+08:00	2026-08-04T12:26:58+08:00	已連線	187.967	30.057													PASS	
3	n78C	100+100	623334+630000	PHY+iPerf	upload	30	2026-08-04T12:27:27+08:00	2026-08-04T12:33:10+08:00	未連線	0.0	0.0													FAIL	SA config 已套用，但 UE 尚未連線。
4	1A_n78A	20_100	623334+300	PHY+iPerf	download	30	2026-08-04T12:33:37+08:00	2026-08-04T12:37:15+08:00	已連線	88.429	10.843													FAIL	FAIL｜iPerf 測試失敗  iPerf Server 192.168.3.2:5201 未 Listen，且自動啟動尚未設定。
5	3A	20	1575	PHY			2026-08-04T12:37:42+08:00	2026-08-04T12:39:25+08:00	已連線	14.626	37.381													PASS	
6	5A	10	2525	PHY+iPerf	bidirectional	30	2026-08-04T12:39:51+08:00	2026-08-04T12:43:10+08:00	已連線	13.477	5.149	DL 13.059 / UL 4.612	DL 10.945 / UL 3.824	DL 18.591 / UL 5.173	DL 48.97 / UL 17.295	13.059	10.945	18.591	48.97	4.612	3.824	5.173	17.295	PASS	
7	1A-3A	20+20	300+1575	PHY			2026-08-04T12:43:38+08:00	2026-08-04T12:49:13+08:00	未連線	0.0	0.0													FAIL	FAIL｜LTE Band 設定未完整完成  LTE config 已套用，但 UE 尚未連線。
8	n78C	100+100	623334+630000	PHY+iPerf	upload	30	2026-08-04T12:49:40+08:00	2026-08-04T12:55:16+08:00	未連線	0.0	0.0													FAIL	SA config 已套用，但 UE 尚未連線。
9	1A_n78A	20_100	623334+300	PHY+iPerf	download	30	2026-08-04T12:55:44+08:00	2026-08-04T13:01:23+08:00	未連線	0.0	0.0													FAIL	ENDC config 已套用，但 UE 尚未連線。
10	3A	20	1575	PHY			2026-08-04T13:01:51+08:00	2026-08-04T13:07:32+08:00	未連線	0.0	0.0													FAIL	FAIL｜LTE Band 設定未完整完成  LTE config 已套用，但 UE 尚未連線。
11	5A	10	2525	PHY+iPerf	bidirectional	30	2026-08-04T13:08:00+08:00	2026-08-04T13:11:25+08:00	已連線	1.42	0.363													FAIL	FAIL｜雙向 iPerf 測試失敗
12	1A-3A	20+20	300+1575	PHY			2026-08-04T13:11:53+08:00	2026-08-04T13:17:31+08:00	未連線	0.0	0.0													FAIL	FAIL｜LTE Band 設定未完整完成  LTE config 已套用，但 UE 尚未連線。
13	n78C	100+100	623334+630000	PHY+iPerf	upload	30	2026-08-04T13:17:58+08:00	2026-08-04T13:23:40+08:00	未連線	0.0	0.0													FAIL	SA config 已套用，但 UE 尚未連線。
14	1A_n78A	20_100	623334+300	PHY+iPerf	download	30	2026-08-04T13:24:07+08:00	2026-08-04T13:29:45+08:00	未連線	0.0	0.0													FAIL	ENDC config 已套用，但 UE 尚未連線。
15	3A	20	1575	PHY			2026-08-04T13:30:15+08:00	2026-08-04T13:35:53+08:00	未連線	0.0	0.0													FAIL	FAIL｜LTE Band 設定未完整完成  LTE config 已套用，但 UE 尚未連線。
16	5A	10	2525	PHY+iPerf	bidirectional	30	2026-08-04T13:36:23+08:00	2026-08-04T13:40:27+08:00	已連線	13.286	4.739	DL 12.042 / UL 4.684	DL 7.297 / UL 4.183	DL 22.239 / UL 5.22	DL 45.156 / UL 17.564	12.042	7.297	22.239	45.156	4.684	4.183	5.22	17.564	PASS	
17	1A-3A	20+20	300+1575	PHY			2026-08-04T13:40:58+08:00	2026-08-04T13:46:54+08:00	未連線	0.0	0.0													FAIL	FAIL｜LTE Band 設定未完整完成  LTE config 已套用，但 UE 尚未連線。
18	n78C	100+100	623334+630000	PHY+iPerf	upload	30	2026-08-04T13:47:21+08:00	2026-08-04T13:53:01+08:00	未連線	0.0	0.0													FAIL	SA config 已套用，但 UE 尚未連線。
19	1A_n78A	20_100	623334+300	PHY+iPerf	download	30	2026-08-04T13:53:32+08:00	2026-08-04T13:59:10+08:00	未連線	0.0	0.0													FAIL	ENDC config 已套用，但 UE 尚未連線。
20	3A	20	1575	PHY			2026-08-04T13:59:38+08:00	2026-08-04T14:05:17+08:00	未連線	0.0	0.0													FAIL	FAIL｜LTE Band 設定未完整完成  LTE config 已套用，但 UE 尚未連線。
21	5A	10	2525	PHY+iPerf	bidirectional	30	2026-08-04T14:05:45+08:00	2026-08-04T14:09:16+08:00	已連線	8.25	3.92													FAIL	FAIL｜雙向 iPerf 測試失敗
22	1A-3A	20+20	300+1575	PHY			2026-08-04T14:09:45+08:00	2026-08-04T14:15:27+08:00	未連線	0.0	0.0													FAIL	FAIL｜LTE Band 設定未完整完成  LTE config 已套用，但 UE 尚未連線。
23	n78C	100+100	623334+630000	PHY+iPerf	upload	30	2026-08-04T14:15:51+08:00	2026-08-04T14:21:25+08:00	未連線	0.0	0.0													FAIL	SA config 已套用，但 UE 尚未連線。
24	1A_n78A	20_100	623334+300	PHY+iPerf	download	30	2026-08-04T14:21:48+08:00	2026-08-04T14:27:32+08:00	未連線															FAIL	ENDC config 已套用，但 UE 尚未連線。
25	3A	20	1575	PHY			2026-08-04T14:27:57+08:00	2026-08-04T14:33:28+08:00	未連線	0.0	0.0													FAIL	FAIL｜LTE Band 設定未完整完成  LTE config 已套用，但 UE 尚未連線。
26	5A	10	2525	PHY+iPerf	bidirectional	30	2026-08-04T14:33:56+08:00	2026-08-04T14:38:01+08:00	已連線	11.3	4.767	DL 11.93 / UL 4.913	DL 8.338 / UL 4.113	DL 16.685 / UL 6.326	DL 44.736 / UL 18.425	11.93	8.338	16.685	44.736	4.913	4.113	6.326	18.425	PASS	
27	1A-3A	20+20	300+1575	PHY			2026-08-04T14:38:31+08:00	2026-08-04T14:39:55+08:00	已連線	32.734	1.575													PASS	
28	n78C	100+100	623334+630000	PHY+iPerf	upload	30	2026-08-04T14:40:25+08:00	2026-08-04T14:46:08+08:00	未連線	0.0	0.0													FAIL	SA config 已套用，但 UE 尚未連線。
29	1A_n78A	20_100	623334+300	PHY+iPerf	download	30	2026-08-04T14:46:34+08:00	2026-08-04T14:52:11+08:00	未連線	0.0	0.0													FAIL	ENDC config 已套用，但 UE 尚未連線。
30	3A	20	1575	PHY			2026-08-04T14:52:38+08:00	2026-08-04T14:53:58+08:00	已連線	14.359	39.149													PASS	
31	5A	10	2525	PHY+iPerf	bidirectional	30	2026-08-04T14:54:23+08:00	2026-08-04T14:57:13+08:00	已連線	10.403	5.148	DL 12.67 / UL 4.789	DL 8.339 / UL 4.171	DL 20.674 / UL 5.305	DL 47.512 / UL 17.958	12.67	8.339	20.674	47.512	4.789	4.171	5.305	17.958	PASS	
32	1A-3A	20+20	300+1575	PHY			2026-08-04T14:57:38+08:00	2026-08-04T15:03:15+08:00	未連線															FAIL	FAIL｜LTE Band 設定未完整完成  LTE config 已套用，但 UE 尚未連線。
33	n78C	100+100	623334+630000	PHY+iPerf	upload	30	2026-08-04T15:03:39+08:00	2026-08-04T15:09:14+08:00	未連線	0.0	0.0													FAIL	SA config 已套用，但 UE 尚未連線。
34	1A_n78A	20_100	623334+300	PHY+iPerf	download	30	2026-08-04T15:09:37+08:00	2026-08-04T15:12:49+08:00	已連線	0.554	11.154													FAIL	FAIL｜iPerf 測試失敗  UE 192.168.3.2 無法從 iPerf Executor Ping 通，停止測試。
35	3A	20		PHY			2026-08-04T15:13:15+08:00	2026-08-04T15:14:07+08:00	未連線															FAIL	FAIL｜LTE Band 設定未完整完成  SSH session not active
36	5A	10	2525	PHY+iPerf	bidirectional	30	2026-08-04T15:14:34+08:00	2026-08-04T15:20:10+08:00	未連線	0.0	0.0													FAIL	FAIL｜LTE Band 設定未完整完成  LTE config 已套用，但 UE 尚未連線。
37	1A-3A	20+20	300+1575	PHY			2026-08-04T15:20:34+08:00	2026-08-04T15:26:08+08:00	未連線	0.0	0.0													FAIL	FAIL｜LTE Band 設定未完整完成  LTE config 已套用，但 UE 尚未連線。
38	n78C	100+100	623334+630000	PHY+iPerf	upload	30	2026-08-04T15:26:36+08:00	2026-08-04T15:32:13+08:00	未連線	0.0	0.0													FAIL	SA config 已套用，但 UE 尚未連線。
39	1A_n78A	20_100	623334+300	PHY+iPerf	download	30	2026-08-04T15:32:39+08:00	2026-08-04T15:38:15+08:00	未連線	0.0	0.0													FAIL	ENDC config 已套用，但 UE 尚未連線。
40	3A	20	1575	PHY			2026-08-04T15:38:41+08:00	2026-08-04T15:44:19+08:00	未連線	0.0	0.0													FAIL	FAIL｜LTE Band 設定未完整完成  LTE config 已套用，但 UE 尚未連線。
41	5A	10	2525	PHY+iPerf	bidirectional	30	2026-08-04T15:44:45+08:00	2026-08-04T15:50:23+08:00	未連線	0.0	0.0													FAIL	FAIL｜LTE Band 設定未完整完成  LTE config 已套用，但 UE 尚未連線。
42	1A-3A	20+20	300+1575	PHY			2026-08-04T15:50:49+08:00	2026-08-04T15:56:28+08:00	未連線	0.0	0.0													FAIL	FAIL｜LTE Band 設定未完整完成  LTE config 已套用，但 UE 尚未連線。
43	n78C	100+100	623334+630000	PHY+iPerf	upload	30	2026-08-04T15:56:56+08:00	2026-08-04T16:02:35+08:00	未連線	0.0	0.0													FAIL	SA config 已套用，但 UE 尚未連線。
