序號	Band	BW	ARFCN	測試類型	iPerf方向	測試秒數	設定開始時間	設定完成時間	UE連線狀態	PHY DL Mbps	PHY UL Mbps	iPerf平均 Mbps	iPerf最低 Mbps	iPerf最高 Mbps	傳輸量 MB	Download 平均 Mbps	Download 最低 Mbps	Download 最高 Mbps	Download 傳輸量 MB	Upload 平均 Mbps	Upload 最低 Mbps	Upload 最高 Mbps	Upload 傳輸量 MB	結果	錯誤原因
1	5A	10	2525	PHY+iPerf	bidirectional	30	2026-08-05T11:08:55+08:00	2026-08-05T11:14:31+08:00	未連線	0.0	0.0													FAIL	FAIL｜LTE Band 設定未完整完成  LTE config 已套用，但 UE 尚未連線。
2	1A-3A	20+20	300+1575	PHY			2026-08-05T11:15:02+08:00	2026-08-05T11:20:41+08:00	未連線	0.0	0.0													FAIL	FAIL｜LTE Band 設定未完整完成  LTE config 已套用，但 UE 尚未連線。
3	n78C	100+100	623334+630000	PHY+iPerf	upload	30	2026-08-05T11:21:09+08:00	2026-08-05T11:26:54+08:00	未連線	0.0	0.0													FAIL	SA config 已套用，但 UE 尚未連線。
4	1A_n78A	20_100	623334+300	PHY+iPerf	download	30	2026-08-05T11:27:24+08:00	2026-08-05T11:33:05+08:00	未連線	0.0	0.0													FAIL	ENDC config 已套用，但 UE 尚未連線。
5	3A	20	1575	PHY			2026-08-05T11:33:36+08:00	2026-08-05T11:39:17+08:00	未連線	0.0	0.0													FAIL	FAIL｜LTE Band 設定未完整完成  LTE config 已套用，但 UE 尚未連線。
6	5A	10	2525	PHY+iPerf	bidirectional	30	2026-08-05T11:39:48+08:00	2026-08-05T11:45:30+08:00	未連線	0.0	0.0													FAIL	FAIL｜LTE Band 設定未完整完成  LTE config 已套用，但 UE 尚未連線。
7	1A-3A	20+20	300+1575	PHY			2026-08-05T11:45:58+08:00	2026-08-05T11:51:38+08:00	未連線	0.0	0.0													FAIL	FAIL｜LTE Band 設定未完整完成  LTE config 已套用，但 UE 尚未連線。
8	n78C	100+100	623334+630000	PHY+iPerf	upload	30	2026-08-05T11:52:06+08:00	2026-08-05T11:57:49+08:00	未連線	0.0	0.0													FAIL	SA config 已套用，但 UE 尚未連線。
9	1A_n78A	20_100	623334+300	PHY+iPerf	download	30	2026-08-05T11:58:23+08:00	2026-08-05T12:04:10+08:00	未連線	0.0	0.0													FAIL	ENDC config 已套用，但 UE 尚未連線。
10	3A	20	1575	PHY			2026-08-05T12:04:40+08:00	2026-08-05T12:10:19+08:00	未連線	0.0	0.0													FAIL	FAIL｜LTE Band 設定未完整完成  LTE config 已套用，但 UE 尚未連線。
11	5A	10	2525	PHY+iPerf	bidirectional	30	2026-08-05T12:10:49+08:00	2026-08-05T12:16:27+08:00	未連線	0.0	0.0													FAIL	FAIL｜LTE Band 設定未完整完成  LTE config 已套用，但 UE 尚未連線。
12	1A-3A	20+20	300+1575	PHY			2026-08-05T12:16:55+08:00	2026-08-05T12:22:33+08:00	未連線	0.0	0.0													FAIL	FAIL｜LTE Band 設定未完整完成  LTE config 已套用，但 UE 尚未連線。
13	n78C	100+100	623334+630000	PHY+iPerf	upload	30	2026-08-05T12:23:01+08:00	2026-08-05T12:28:44+08:00	未連線	0.0	0.0													FAIL	SA config 已套用，但 UE 尚未連線。
14	1A_n78A	20_100	623334+300	PHY+iPerf	download	30	2026-08-05T12:29:14+08:00	2026-08-05T12:34:55+08:00	未連線	0.0	0.0													FAIL	ENDC config 已套用，但 UE 尚未連線。
15	3A	20	1575	PHY			2026-08-05T12:35:25+08:00	2026-08-05T12:41:04+08:00	未連線	0.0	0.0													FAIL	FAIL｜LTE Band 設定未完整完成  LTE config 已套用，但 UE 尚未連線。
16	5A	10	2525	PHY+iPerf	bidirectional	30	2026-08-05T12:42:20+08:00	2026-08-05T12:47:57+08:00	未連線	0.0	0.0													FAIL	FAIL｜LTE Band 設定未完整完成  LTE config 已套用，但 UE 尚未連線。
17	1A-3A	20+20	300+1575	PHY			2026-08-05T12:48:27+08:00	2026-08-05T12:54:04+08:00	未連線	0.0	0.0													FAIL	FAIL｜LTE Band 設定未完整完成  LTE config 已套用，但 UE 尚未連線。
18	n78C	100+100	623334+630000	PHY+iPerf	upload	30	2026-08-05T12:54:34+08:00	2026-08-05T13:00:18+08:00	未連線	0.0	0.0													FAIL	SA config 已套用，但 UE 尚未連線。
19	1A_n78A	20_100	623334+300	PHY+iPerf	download	30	2026-08-05T13:00:47+08:00	2026-08-05T13:06:28+08:00	未連線	0.0	0.0													FAIL	ENDC config 已套用，但 UE 尚未連線。
20	3A	20	1575	PHY			2026-08-05T13:06:57+08:00	2026-08-05T13:12:34+08:00	未連線	0.0	0.0													FAIL	FAIL｜LTE Band 設定未完整完成  LTE config 已套用，但 UE 尚未連線。
21	5A	10	2525	PHY+iPerf	bidirectional	30	2026-08-05T13:13:02+08:00	2026-08-05T13:18:42+08:00	未連線	0.0	0.0													FAIL	FAIL｜LTE Band 設定未完整完成  LTE config 已套用，但 UE 尚未連線。
22	1A-3A	20+20	300+1575	PHY			2026-08-05T13:19:11+08:00	2026-08-05T13:24:50+08:00	未連線	0.0	0.0													FAIL	FAIL｜LTE Band 設定未完整完成  LTE config 已套用，但 UE 尚未連線。
23	n78C	100+100	623334+630000	PHY+iPerf	upload	30	2026-08-05T13:25:18+08:00	2026-08-05T13:30:56+08:00	未連線	0.0	0.0													FAIL	SA config 已套用，但 UE 尚未連線。
24	1A_n78A	20_100	623334+300	PHY+iPerf	download	30	2026-08-05T13:31:25+08:00	2026-08-05T13:37:01+08:00	未連線	0.0	0.0													FAIL	ENDC config 已套用，但 UE 尚未連線。
25	3A	20	1575	PHY			2026-08-05T13:37:28+08:00	2026-08-05T13:43:07+08:00	未連線	0.0	0.0													FAIL	FAIL｜LTE Band 設定未完整完成  LTE config 已套用，但 UE 尚未連線。
