NetworkAutomation Complete iPerf Log
========================================================================

[Test Information]
Test ID           : iperf-20260716-122454-201038
Schema Version    : 2.0
Test Type         : iperf3
Timestamp End     : 2026-07-16T12:24:54+08:00
Result            : PASS

[Parameters]
UE Data IP        : 192.168.3.2
Direction         : upload
Duration          : 30 sec
Port              : 5201
Parallel Streams  : 1
Interval          : 1 sec
Reverse (-R)      : True

[Precheck]
UE Ping           : PASS
Ping Command      : ping -c 1 -W 2 192.168.3.2
Server Ready      : True
Server Action     : already_listening
Server Message    : iPerf Server 192.168.3.2:5201 已在 Listen。

[Summary]
Average           : 7.516 Mbps
Minimum           : 7.294 Mbps
Maximum           : 7.826 Mbps
Total Transfer    : 28.185 MB
Retransmissions   : N/A
Packet Loss       : N/A %
Sample Count      : 30

[Interval Samples]
No.  Start    End      Mbps       MB         Retrans  Loss(%)  Omitted
---  -------  -------  ---------  ---------  -------  -------  -------
  1        0    1.000      7.826      0.978      N/A      N/A    False
  2    1.000    2.000      7.560      0.945      N/A      N/A    False
  3    2.000    3.000      7.595      0.949      N/A      N/A    False
  4    3.000    4.000      7.485      0.936      N/A      N/A    False
  5    4.000    5.000      7.398      0.925      N/A      N/A    False
  6    5.000    6.000      7.583      0.948      N/A      N/A    False
  7    6.000    7.000      7.514      0.939      N/A      N/A    False
  8    7.000    8.000      7.294      0.912      N/A      N/A    False
  9    8.000    9.000      7.595      0.949      N/A      N/A    False
 10    9.000   10.000      7.433      0.929      N/A      N/A    False
 11   10.000   11.000      7.514      0.939      N/A      N/A    False
 12   11.000   12.000      7.305      0.913      N/A      N/A    False
 13   12.000   13.000      7.740      0.967      N/A      N/A    False
 14   13.000   14.000      7.502      0.938      N/A      N/A    False
 15   14.000   15.000      7.583      0.948      N/A      N/A    False
 16   15.000   16.000      7.444      0.931      N/A      N/A    False
 17   16.000   17.000      7.352      0.919      N/A      N/A    False
 18   17.000   18.000      7.502      0.938      N/A      N/A    False
 19   18.000   19.000      7.578      0.947      N/A      N/A    False
 20   19.000   20.000      7.375      0.922      N/A      N/A    False
 21   20.000   21.000      7.560      0.945      N/A      N/A    False
 22   21.000   22.000      7.479      0.935      N/A      N/A    False
 23   22.000   23.000      7.387      0.923      N/A      N/A    False
 24   23.000   24.000      7.398      0.925      N/A      N/A    False
 25   24.000   25.000      7.728      0.966      N/A      N/A    False
 26   25.000   26.000      7.456      0.932      N/A      N/A    False
 27   26.000   27.000      7.583      0.948      N/A      N/A    False
 28   27.000   28.000      7.537      0.942      N/A      N/A    False
 29   28.000   29.000      7.653      0.957      N/A      N/A    False
 30   29.000   30.000      7.520      0.940      N/A      N/A    False

========================================================================
End of Log
