NetworkAutomation Complete iPerf Log
========================================================================

[Test Information]
Test ID           : iperf-20260731-121303-431405
Schema Version    : 2.0
Test Type         : iperf3
Timestamp End     : 2026-07-31T12:13:03+08:00
Result            : PASS

[Parameters]
UE Data IP        : 192.168.3.2
LTE Band          : B5
Bandwidth         : 10.000 MHz
Cell              : 1
EARFCN            : 2525
Direction         : upload
Duration          : 30 sec
Port              : 5201
Parallel Streams  : 1
Interval          : 1 sec
Reverse (-R)      : True

[Precheck]
UE Ping           : PASS
Ping Command      : ping -c 1 -W 2 192.168.3.2
Server Ready      : True
Server Action     : already_listening
Server Message    : iPerf Server 192.168.3.2:5201 已在 Listen。

[Summary]
Average           : 4.781 Mbps
Minimum           : 4.333 Mbps
Maximum           : 5.231 Mbps
Total Transfer    : 17.927 MB
Retransmissions   : N/A
Packet Loss       : N/A %
Sample Count      : 30

[Interval Samples]
No.  Start    End      Mbps       MB         Retrans  Loss(%)  Omitted
---  -------  -------  ---------  ---------  -------  -------  -------
  1        0    1.000      5.155      0.644      N/A      N/A    False
  2    1.000    2.000      4.645      0.581      N/A      N/A    False
  3    2.000    3.000      4.851      0.606      N/A      N/A    False
  4    3.000    4.000      5.092      0.637      N/A      N/A    False
  5    4.000    5.000      4.895      0.612      N/A      N/A    False
  6    5.000    6.000      5.162      0.645      N/A      N/A    False
  7    6.000    7.000      5.231      0.654      N/A      N/A    False
  8    7.000    8.000      4.623      0.578      N/A      N/A    False
  9    8.000    9.000      4.409      0.551      N/A      N/A    False
 10    9.000   10.000      4.855      0.607      N/A      N/A    False
 11   10.000   11.000      4.710      0.589      N/A      N/A    False
 12   11.000   12.000      4.333      0.542      N/A      N/A    False
 13   12.000   13.000      4.716      0.589      N/A      N/A    False
 14   13.000   14.000      4.513      0.564      N/A      N/A    False
 15   14.000   15.000      4.889      0.611      N/A      N/A    False
 16   15.000   16.000      4.907      0.613      N/A      N/A    False
 17   16.000   17.000      4.774      0.597      N/A      N/A    False
 18   17.000   18.000      4.664      0.583      N/A      N/A    False
 19   18.000   19.000      4.634      0.579      N/A      N/A    False
 20   19.000   20.000      4.872      0.609      N/A      N/A    False
 21   20.000   21.000      4.577      0.572      N/A      N/A    False
 22   21.000   22.000      4.513      0.564      N/A      N/A    False
 23   22.000   23.000      4.438      0.555      N/A      N/A    False
 24   23.000   24.000      4.884      0.610      N/A      N/A    False
 25   24.000   25.000      4.831      0.604      N/A      N/A    False
 26   25.000   26.000      4.710      0.589      N/A      N/A    False
 27   26.000   27.000      4.936      0.617      N/A      N/A    False
 28   27.000   28.000      4.745      0.593      N/A      N/A    False
 29   28.000   29.000      4.774      0.597      N/A      N/A    False
 30   29.000   30.000      5.081      0.635      N/A      N/A    False

========================================================================
End of Log
