NetworkAutomation Complete iPerf Log
========================================================================

[Test Information]
Test ID           : iperf-20260803-172947-2a3a5b
Schema Version    : 2.0
Test Type         : iperf3
Timestamp End     : 2026-08-03T17:29:47+08:00
Result            : PASS

[Parameters]
UE Data IP        : 192.168.3.2
LTE Band          : B5
Bandwidth         : 10.000 MHz
Cell              : 1
EARFCN            : 2525
Direction         : upload
Duration          : 30 sec
Port              : 5201
Parallel Streams  : 1
Interval          : 1 sec
Reverse (-R)      : True

[Precheck]
UE Ping           : PASS
Ping Command      : ping -c 1 -W 2 192.168.3.2
Server Ready      : True
Server Action     : already_listening
Server Message    : iPerf Server 192.168.3.2:5201 已在 Listen。

[Summary]
Average           : 4.462 Mbps
Minimum           : 3.511 Mbps
Maximum           : 4.854 Mbps
Total Transfer    : 16.732 MB
Retransmissions   : N/A
Packet Loss       : N/A %
Sample Count      : 30

[Interval Samples]
No.  Start    End      Mbps       MB         Retrans  Loss(%)  Omitted
---  -------  -------  ---------  ---------  -------  -------  -------
  1        0    1.000      4.645      0.581      N/A      N/A    False
  2    1.000    2.000      4.854      0.607      N/A      N/A    False
  3    2.000    3.000      4.561      0.570      N/A      N/A    False
  4    3.000    4.000      4.577      0.572      N/A      N/A    False
  5    4.000    5.000      4.780      0.597      N/A      N/A    False
  6    5.000    6.000      4.634      0.579      N/A      N/A    False
  7    6.000    7.000      4.391      0.549      N/A      N/A    False
  8    7.000    8.000      4.102      0.513      N/A      N/A    False
  9    8.000    9.000      4.536      0.567      N/A      N/A    False
 10    9.000   10.000      4.831      0.604      N/A      N/A    False
 11   10.000   11.000      4.536      0.567      N/A      N/A    False
 12   11.000   12.000      4.345      0.543      N/A      N/A    False
 13   12.000   13.000      4.438      0.555      N/A      N/A    False
 14   13.000   14.000      4.229      0.529      N/A      N/A    False
 15   14.000   15.000      4.299      0.537      N/A      N/A    False
 16   15.000   16.000      4.542      0.568      N/A      N/A    False
 17   16.000   17.000      4.293      0.537      N/A      N/A    False
 18   17.000   18.000      4.206      0.526      N/A      N/A    False
 19   18.000   19.000      4.681      0.585      N/A      N/A    False
 20   19.000   20.000      4.299      0.537      N/A      N/A    False
 21   20.000   21.000      4.461      0.558      N/A      N/A    False
 22   21.000   22.000      3.511      0.439      N/A      N/A    False
 23   22.000   23.000      4.229      0.529      N/A      N/A    False
 24   23.000   24.000      4.611      0.576      N/A      N/A    False
 25   24.000   25.000      4.722      0.590      N/A      N/A    False
 26   25.000   26.000      4.507      0.563      N/A      N/A    False
 27   26.000   27.000      4.125      0.516      N/A      N/A    False
 28   27.000   28.000      4.808      0.601      N/A      N/A    False
 29   28.000   29.000      4.664      0.583      N/A      N/A    False
 30   29.000   30.000      4.438      0.555      N/A      N/A    False

========================================================================
End of Log
