NetworkAutomation Complete iPerf Log
========================================================================

[Test Information]
Test ID           : iperf-20260803-174220-8cb635
Schema Version    : 2.0
Test Type         : iperf3
Timestamp End     : 2026-08-03T17:42:20+08:00
Result            : PASS

[Parameters]
UE Data IP        : 192.168.3.2
LTE Band          : B5
Bandwidth         : 10.000 MHz
Cell              : 1
EARFCN            : 2525
Direction         : upload
Duration          : 30 sec
Port              : 5201
Parallel Streams  : 1
Interval          : 1 sec
Reverse (-R)      : True

[Precheck]
UE Ping           : PASS
Ping Command      : ping -c 1 -W 2 192.168.3.2
Server Ready      : True
Server Action     : already_listening
Server Message    : iPerf Server 192.168.3.2:5201 已在 Listen。

[Summary]
Average           : 4.724 Mbps
Minimum           : 4.054 Mbps
Maximum           : 5.173 Mbps
Total Transfer    : 17.715 MB
Retransmissions   : N/A
Packet Loss       : N/A %
Sample Count      : 30

[Interval Samples]
No.  Start    End      Mbps       MB         Retrans  Loss(%)  Omitted
---  -------  -------  ---------  ---------  -------  -------  -------
  1        0    1.000      4.842      0.605      N/A      N/A    False
  2    1.000    2.000      4.054      0.507      N/A      N/A    False
  3    2.000    3.000      4.567      0.571      N/A      N/A    False
  4    3.000    4.000      4.710      0.589      N/A      N/A    False
  5    4.000    5.000      4.809      0.601      N/A      N/A    False
  6    5.000    6.000      4.710      0.589      N/A      N/A    False
  7    6.000    7.000      4.681      0.585      N/A      N/A    False
  8    7.000    8.000      5.173      0.647      N/A      N/A    False
  9    8.000    9.000      4.895      0.612      N/A      N/A    False
 10    9.000   10.000      5.127      0.641      N/A      N/A    False
 11   10.000   11.000      4.727      0.591      N/A      N/A    False
 12   11.000   12.000      5.000      0.625      N/A      N/A    False
 13   12.000   13.000      4.942      0.618      N/A      N/A    False
 14   13.000   14.000      4.930      0.616      N/A      N/A    False
 15   14.000   15.000      5.121      0.640      N/A      N/A    False
 16   15.000   16.000      4.328      0.541      N/A      N/A    False
 17   16.000   17.000      4.646      0.581      N/A      N/A    False
 18   17.000   18.000      4.646      0.581      N/A      N/A    False
 19   18.000   19.000      4.536      0.567      N/A      N/A    False
 20   19.000   20.000      4.461      0.558      N/A      N/A    False
 21   20.000   21.000      4.495      0.562      N/A      N/A    False
 22   21.000   22.000      4.490      0.561      N/A      N/A    False
 23   22.000   23.000      4.588      0.574      N/A      N/A    False
 24   23.000   24.000      4.953      0.619      N/A      N/A    False
 25   24.000   25.000      4.843      0.605      N/A      N/A    False
 26   25.000   26.000      4.675      0.584      N/A      N/A    False
 27   26.000   27.000      4.600      0.575      N/A      N/A    False
 28   27.000   28.000      4.698      0.587      N/A      N/A    False
 29   28.000   29.000      4.588      0.574      N/A      N/A    False
 30   29.000   30.000      4.884      0.610      N/A      N/A    False

========================================================================
End of Log
