NetworkAutomation Complete iPerf Log
========================================================================

[Test Information]
Test ID           : iperf-20260804-114849-9b0b08
Schema Version    : 2.0
Test Type         : iperf3
Timestamp End     : 2026-08-04T11:48:49+08:00
Result            : PASS

[Parameters]
UE Data IP        : 192.168.3.2
LTE Band          : B5
Bandwidth         : 10.000 MHz
Cell              : 1
EARFCN            : 2525
Direction         : download
Duration          : 30 sec
Port              : 5201
Parallel Streams  : 1
Interval          : 1 sec
Reverse (-R)      : False

[Precheck]
UE Ping           : PASS
Ping Command      : ping -c 1 -W 2 192.168.3.2
Server Ready      : True
Server Action     : already_listening
Server Message    : iPerf Server 192.168.3.2:5201 已在 Listen。

[Summary]
Average           : 13.269 Mbps
Minimum           : 10.944 Mbps
Maximum           : 20.152 Mbps
Total Transfer    : 49.758 MB
Retransmissions   : 0
Packet Loss       : N/A %
Sample Count      : 30

[Interval Samples]
No.  Start    End      Mbps       MB         Retrans  Loss(%)  Omitted
---  -------  -------  ---------  ---------  -------  -------  -------
  1        0    1.000     20.152      2.520        0      N/A    False
  2    1.000    2.000     14.597      1.824        0      N/A    False
  3    2.000    3.000     10.946      1.368        0      N/A    False
  4    3.000    4.000     14.597      1.824        0      N/A    False
  5    4.000    5.000     10.946      1.368        0      N/A    False
  6    5.000    6.000     14.597      1.824        0      N/A    False
  7    6.000    7.000     14.598      1.824        0      N/A    False
  8    7.000    8.000     10.946      1.368        0      N/A    False
  9    8.000    9.000     14.597      1.824        0      N/A    False
 10    9.000   10.000     10.945      1.368        0      N/A    False
 11   10.000   11.000     10.947      1.368        0      N/A    False
 12   11.000   12.000     14.598      1.824        0      N/A    False
 13   12.000   13.000     14.596      1.824        0      N/A    False
 14   13.000   14.000     14.596      1.824        0      N/A    False
 15   14.000   15.000     10.945      1.368        0      N/A    False
 16   15.000   16.000     14.597      1.824        0      N/A    False
 17   16.000   17.000     14.597      1.824        0      N/A    False
 18   17.000   18.000     14.596      1.824        0      N/A    False
 19   18.000   19.000     14.596      1.824        0      N/A    False
 20   19.000   20.000     10.944      1.368        0      N/A    False
 21   20.000   21.000     10.948      1.368        0      N/A    False
 22   21.000   22.000     14.598      1.824        0      N/A    False
 23   22.000   23.000     10.944      1.368        0      N/A    False
 24   23.000   24.000     14.597      1.824        0      N/A    False
 25   24.000   25.000     14.598      1.824        0      N/A    False
 26   25.000   26.000     14.596      1.824        0      N/A    False
 27   26.000   27.000     10.945      1.368        0      N/A    False
 28   27.000   28.000     14.598      1.824        0      N/A    False
 29   28.000   29.000     14.597      1.824        0      N/A    False
 30   29.000   30.000     14.596      1.824        0      N/A    False

========================================================================
End of Log
