NetworkAutomation Complete iPerf Log
========================================================================

[Test Information]
Test ID           : iperf-20260804-124309-86c4b0
Schema Version    : 2.0
Test Type         : iperf3
Timestamp End     : 2026-08-04T12:43:09+08:00
Result            : PASS

[Parameters]
UE Data IP        : 192.168.3.2
LTE Band          : B5
Bandwidth         : 10.000 MHz
Cell              : 1
EARFCN            : 2525
Direction         : upload
Duration          : 30 sec
Port              : 5201
Parallel Streams  : 1
Interval          : 1 sec
Reverse (-R)      : True

[Precheck]
UE Ping           : PASS
Ping Command      : ping -c 1 -W 2 192.168.3.2
Server Ready      : True
Server Action     : already_listening
Server Message    : iPerf Server 192.168.3.2:5201 已在 Listen。

[Summary]
Average           : 4.612 Mbps
Minimum           : 3.824 Mbps
Maximum           : 5.173 Mbps
Total Transfer    : 17.295 MB
Retransmissions   : N/A
Packet Loss       : N/A %
Sample Count      : 30

[Interval Samples]
No.  Start    End      Mbps       MB         Retrans  Loss(%)  Omitted
---  -------  -------  ---------  ---------  -------  -------  -------
  1        0    1.000      5.016      0.627      N/A      N/A    False
  2    1.000    2.000      5.046      0.631      N/A      N/A    False
  3    2.000    3.000      4.907      0.613      N/A      N/A    False
  4    3.000    4.000      5.173      0.647      N/A      N/A    False
  5    4.000    5.000      4.959      0.620      N/A      N/A    False
  6    5.000    6.000      5.058      0.632      N/A      N/A    False
  7    6.000    7.000      4.617      0.577      N/A      N/A    False
  8    7.000    8.000      4.808      0.601      N/A      N/A    False
  9    8.000    9.000      4.571      0.571      N/A      N/A    False
 10    9.000   10.000      4.576      0.572      N/A      N/A    False
 11   10.000   11.000      4.907      0.613      N/A      N/A    False
 12   11.000   12.000      4.855      0.607      N/A      N/A    False
 13   12.000   13.000      4.594      0.574      N/A      N/A    False
 14   13.000   14.000      4.669      0.584      N/A      N/A    False
 15   14.000   15.000      4.472      0.559      N/A      N/A    False
 16   15.000   16.000      4.420      0.553      N/A      N/A    False
 17   16.000   17.000      4.414      0.552      N/A      N/A    False
 18   17.000   18.000      4.333      0.542      N/A      N/A    False
 19   18.000   19.000      3.824      0.478      N/A      N/A    False
 20   19.000   20.000      4.206      0.526      N/A      N/A    False
 21   20.000   21.000      4.322      0.540      N/A      N/A    False
 22   21.000   22.000      4.715      0.589      N/A      N/A    False
 23   22.000   23.000      4.449      0.556      N/A      N/A    False
 24   23.000   24.000      4.217      0.527      N/A      N/A    False
 25   24.000   25.000      4.148      0.518      N/A      N/A    False
 26   25.000   26.000      4.229      0.529      N/A      N/A    False
 27   26.000   27.000      4.374      0.547      N/A      N/A    False
 28   27.000   28.000      4.716      0.589      N/A      N/A    False
 29   28.000   29.000      4.698      0.587      N/A      N/A    False
 30   29.000   30.000      5.063      0.633      N/A      N/A    False

========================================================================
End of Log
