NetworkAutomation Complete iPerf Log
========================================================================

[Test Information]
Test ID           : iperf-20260804-134026-b6eb37
Schema Version    : 2.0
Test Type         : iperf3
Timestamp End     : 2026-08-04T13:40:26+08:00
Result            : PASS

[Parameters]
UE Data IP        : 192.168.3.2
LTE Band          : B5
Bandwidth         : 10.000 MHz
Cell              : 1
EARFCN            : 2525
Direction         : upload
Duration          : 30 sec
Port              : 5201
Parallel Streams  : 1
Interval          : 1 sec
Reverse (-R)      : True

[Precheck]
UE Ping           : PASS
Ping Command      : ping -c 1 -W 2 192.168.3.2
Server Ready      : True
Server Action     : already_listening
Server Message    : iPerf Server 192.168.3.2:5201 已在 Listen。

[Summary]
Average           : 4.684 Mbps
Minimum           : 4.183 Mbps
Maximum           : 5.220 Mbps
Total Transfer    : 17.564 MB
Retransmissions   : N/A
Packet Loss       : N/A %
Sample Count      : 30

[Interval Samples]
No.  Start    End      Mbps       MB         Retrans  Loss(%)  Omitted
---  -------  -------  ---------  ---------  -------  -------  -------
  1        0    1.000      4.888      0.611      N/A      N/A    False
  2    1.000    2.000      4.751      0.594      N/A      N/A    False
  3    2.000    3.000      4.791      0.599      N/A      N/A    False
  4    3.000    4.000      4.849      0.606      N/A      N/A    False
  5    4.000    5.000      4.484      0.560      N/A      N/A    False
  6    5.000    6.000      4.495      0.562      N/A      N/A    False
  7    6.000    7.000      4.664      0.583      N/A      N/A    False
  8    7.000    8.000      4.542      0.568      N/A      N/A    False
  9    8.000    9.000      4.264      0.533      N/A      N/A    False
 10    9.000   10.000      4.380      0.547      N/A      N/A    False
 11   10.000   11.000      4.756      0.595      N/A      N/A    False
 12   11.000   12.000      4.414      0.552      N/A      N/A    False
 13   12.000   13.000      4.617      0.577      N/A      N/A    False
 14   13.000   14.000      4.762      0.595      N/A      N/A    False
 15   14.000   15.000      4.583      0.573      N/A      N/A    False
 16   15.000   16.000      4.774      0.597      N/A      N/A    False
 17   16.000   17.000      4.721      0.590      N/A      N/A    False
 18   17.000   18.000      4.947      0.618      N/A      N/A    False
 19   18.000   19.000      4.907      0.613      N/A      N/A    False
 20   19.000   20.000      4.988      0.624      N/A      N/A    False
 21   20.000   21.000      4.739      0.592      N/A      N/A    False
 22   21.000   22.000      4.872      0.609      N/A      N/A    False
 23   22.000   23.000      4.716      0.589      N/A      N/A    False
 24   23.000   24.000      4.733      0.592      N/A      N/A    False
 25   24.000   25.000      4.438      0.555      N/A      N/A    False
 26   25.000   26.000      4.641      0.580      N/A      N/A    False
 27   26.000   27.000      4.183      0.523      N/A      N/A    False
 28   27.000   28.000      4.669      0.584      N/A      N/A    False
 29   28.000   29.000      4.721      0.590      N/A      N/A    False
 30   29.000   30.000      5.220      0.652      N/A      N/A    False

========================================================================
End of Log
