NetworkAutomation Complete iPerf Log
========================================================================

[Test Information]
Test ID           : iperf-20260804-143801-65d6c5
Schema Version    : 2.0
Test Type         : iperf3
Timestamp End     : 2026-08-04T14:38:01+08:00
Result            : PASS

[Parameters]
UE Data IP        : 192.168.3.2
LTE Band          : B5
Bandwidth         : 10.000 MHz
Cell              : 1
EARFCN            : 2525
Direction         : upload
Duration          : 30 sec
Port              : 5201
Parallel Streams  : 1
Interval          : 1 sec
Reverse (-R)      : True

[Precheck]
UE Ping           : PASS
Ping Command      : ping -c 1 -W 2 192.168.3.2
Server Ready      : True
Server Action     : already_listening
Server Message    : iPerf Server 192.168.3.2:5201 已在 Listen。

[Summary]
Average           : 4.913 Mbps
Minimum           : 4.113 Mbps
Maximum           : 6.326 Mbps
Total Transfer    : 18.425 MB
Retransmissions   : N/A
Packet Loss       : N/A %
Sample Count      : 30

[Interval Samples]
No.  Start    End      Mbps       MB         Retrans  Loss(%)  Omitted
---  -------  -------  ---------  ---------  -------  -------  -------
  1        0    1.000      5.039      0.630      N/A      N/A    False
  2    1.000    2.000      4.390      0.549      N/A      N/A    False
  3    2.000    3.000      4.318      0.540      N/A      N/A    False
  4    3.000    4.000      4.113      0.514      N/A      N/A    False
  5    4.000    5.000      4.577      0.572      N/A      N/A    False
  6    5.000    6.000      4.588      0.574      N/A      N/A    False
  7    6.000    7.000      4.768      0.596      N/A      N/A    False
  8    7.000    8.000      4.785      0.598      N/A      N/A    False
  9    8.000    9.000      4.745      0.593      N/A      N/A    False
 10    9.000   10.000      4.692      0.587      N/A      N/A    False
 11   10.000   11.000      5.046      0.631      N/A      N/A    False
 12   11.000   12.000      4.942      0.618      N/A      N/A    False
 13   12.000   13.000      5.011      0.626      N/A      N/A    False
 14   13.000   14.000      5.185      0.648      N/A      N/A    False
 15   14.000   15.000      5.017      0.627      N/A      N/A    False
 16   15.000   16.000      4.976      0.622      N/A      N/A    False
 17   16.000   17.000      4.919      0.615      N/A      N/A    False
 18   17.000   18.000      4.530      0.566      N/A      N/A    False
 19   18.000   19.000      4.530      0.566      N/A      N/A    False
 20   19.000   20.000      5.011      0.626      N/A      N/A    False
 21   20.000   21.000      4.861      0.608      N/A      N/A    False
 22   21.000   22.000      4.438      0.555      N/A      N/A    False
 23   22.000   23.000      4.942      0.618      N/A      N/A    False
 24   23.000   24.000      4.426      0.553      N/A      N/A    False
 25   24.000   25.000      5.243      0.655      N/A      N/A    False
 26   25.000   26.000      6.060      0.757      N/A      N/A    False
 27   26.000   27.000      6.326      0.791      N/A      N/A    False
 28   27.000   28.000      4.919      0.615      N/A      N/A    False
 29   28.000   29.000      5.660      0.707      N/A      N/A    False
 30   29.000   30.000      5.347      0.668      N/A      N/A    False

========================================================================
End of Log
